# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://waterdata.usgs.gov/nwis/?provisional				
#				
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info				
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2014-01-01 13:55:38 EST       (vaww02)				
#				
# Data for the following 1 site(s) are contained in this file				
#    USGS 11251000 SAN JOAQUIN R BL FRIANT CA				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 11251000				
#    DD parameter statistic   Description				
"#    01   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     P  Provisional data subject to revision.  				
#     e  Value has been estimated.  				
# 				
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
USGS	11251000	1943-08-29	1400	A
USGS	11251000	1943-08-30	1400	A
USGS	11251000	1943-08-31	1370	A
USGS	11251000	1943-09-01	1360	A
USGS	11251000	1943-09-02	1340	A
USGS	11251000	1943-09-03	1320	A
USGS	11251000	1943-09-04	1280	A
USGS	11251000	1943-09-05	1250	A
USGS	11251000	1943-09-06	1280	A
USGS	11251000	1943-09-07	1300	A
USGS	11251000	1943-09-08	1330	A
USGS	11251000	1943-09-09	1320	A
USGS	11251000	1943-09-10	1330	A
USGS	11251000	1943-09-11	1350	A
USGS	11251000	1943-09-12	1360	A
USGS	11251000	1943-09-13	1340	A
USGS	11251000	1943-09-14	1240	A
USGS	11251000	1943-09-15	1180	A
USGS	11251000	1943-09-16	1140	A
USGS	11251000	1943-09-17	1070	A
USGS	11251000	1943-09-18	1090	A
USGS	11251000	1943-09-19	1040	A
USGS	11251000	1943-09-20	974	A
USGS	11251000	1943-09-21	946	A
USGS	11251000	1943-09-22	946	A
USGS	11251000	1943-09-23	988	A
USGS	11251000	1943-09-24	1030	A
USGS	11251000	1943-09-25	1040	A
USGS	11251000	1943-09-26	1060	A
USGS	11251000	1943-09-27	1040	A
USGS	11251000	1943-09-28	1020	A
USGS	11251000	1943-09-29	1010	A
USGS	11251000	1943-09-30	1020	A
USGS	11251000	1943-10-01	1010	A
USGS	11251000	1943-10-02	981	A
USGS	11251000	1943-10-03	939	A
USGS	11251000	1943-10-04	772	A
USGS	11251000	1943-10-05	842	A
USGS	11251000	1943-10-06	939	A
USGS	11251000	1943-10-07	967	A
USGS	11251000	1943-10-08	974	A
USGS	11251000	1943-10-09	995	A
USGS	11251000	1943-10-10	967	A
USGS	11251000	1943-10-11	836	A
USGS	11251000	1943-10-12	932	A
USGS	11251000	1943-10-13	988	A
USGS	11251000	1943-10-14	995	A
USGS	11251000	1943-10-15	988	A
USGS	11251000	1943-10-16	967	A
USGS	11251000	1943-10-17	911	A
USGS	11251000	1943-10-18	748	A
USGS	11251000	1943-10-19	816	A
USGS	11251000	1943-10-20	918	A
USGS	11251000	1943-10-21	967	A
USGS	11251000	1943-10-22	1000	A
USGS	11251000	1943-10-23	1020	A
USGS	11251000	1943-10-24	1030	A
USGS	11251000	1943-10-25	1020	A
USGS	11251000	1943-10-26	1030	A
USGS	11251000	1943-10-27	1090	A
USGS	11251000	1943-10-28	1130	A
USGS	11251000	1943-10-29	1050	A
USGS	11251000	1943-10-30	1070	A
USGS	11251000	1943-10-31	904	A
USGS	11251000	1943-11-01	700	A
USGS	11251000	1943-11-02	588	A
USGS	11251000	1943-11-03	442	A
USGS	11251000	1943-11-04	480	A
USGS	11251000	1943-11-05	582	A
USGS	11251000	1943-11-06	718	A
USGS	11251000	1943-11-07	810	A
USGS	11251000	1943-11-08	790	A
USGS	11251000	1943-11-09	803	A
USGS	11251000	1943-11-10	855	A
USGS	11251000	1943-11-11	876	A
USGS	11251000	1943-11-12	883	A
USGS	11251000	1943-11-13	897	A
USGS	11251000	1943-11-14	869	A
USGS	11251000	1943-11-15	803	A
USGS	11251000	1943-11-16	816	A
USGS	11251000	1943-11-17	869	A
USGS	11251000	1943-11-18	946	A
USGS	11251000	1943-11-19	981	A
USGS	11251000	1943-11-20	995	A
USGS	11251000	1943-11-21	967	A
USGS	11251000	1943-11-22	897	A
USGS	11251000	1943-11-23	904	A
USGS	11251000	1943-11-24	925	A
USGS	11251000	1943-11-25	932	A
USGS	11251000	1943-11-26	904	A
USGS	11251000	1943-11-27	904	A
USGS	11251000	1943-11-28	897	A
USGS	11251000	1943-11-29	829	A
USGS	11251000	1943-11-30	829	A
USGS	11251000	1943-12-01	869	A
USGS	11251000	1943-12-02	855	A
USGS	11251000	1943-12-03	816	A
USGS	11251000	1943-12-04	766	A
USGS	11251000	1943-12-05	712	A
USGS	11251000	1943-12-06	670	A
USGS	11251000	1943-12-07	676	A
USGS	11251000	1943-12-08	706	A
USGS	11251000	1943-12-09	730	A
USGS	11251000	1943-12-10	748	A
USGS	11251000	1943-12-11	772	A
USGS	11251000	1943-12-12	748	A
USGS	11251000	1943-12-13	659	A
USGS	11251000	1943-12-14	694	A
USGS	11251000	1943-12-15	730	A
USGS	11251000	1943-12-16	718	A
USGS	11251000	1943-12-17	664	A
USGS	11251000	1943-12-18	626	A
USGS	11251000	1943-12-19	642	A
USGS	11251000	1943-12-20	664	A
USGS	11251000	1943-12-21	842	A
USGS	11251000	1943-12-22	842	A
USGS	11251000	1943-12-23	778	A
USGS	11251000	1943-12-24	742	A
USGS	11251000	1943-12-25	670	A
USGS	11251000	1943-12-26	550	A
USGS	11251000	1943-12-27	485	A
USGS	11251000	1943-12-28	540	A
USGS	11251000	1943-12-29	588	A
USGS	11251000	1943-12-30	610	A
USGS	11251000	1943-12-31	593	A
USGS	11251000	1944-01-01	582	A
USGS	11251000	1944-01-02	505	A
USGS	11251000	1944-01-03	510	A
USGS	11251000	1944-01-04	545	A
USGS	11251000	1944-01-05	637	A
USGS	11251000	1944-01-06	1060	A
USGS	11251000	1944-01-07	1130	A
USGS	11251000	1944-01-08	1060	A
USGS	11251000	1944-01-09	939	A
USGS	11251000	1944-01-10	981	A
USGS	11251000	1944-01-11	974	A
USGS	11251000	1944-01-12	803	A
USGS	11251000	1944-01-13	848	A
USGS	11251000	1944-01-14	862	A
USGS	11251000	1944-01-15	869	A
USGS	11251000	1944-01-16	862	A
USGS	11251000	1944-01-17	754	A
USGS	11251000	1944-01-18	748	A
USGS	11251000	1944-01-19	784	A
USGS	11251000	1944-01-20	748	A
USGS	11251000	1944-01-21	712	A
USGS	11251000	1944-01-22	712	A
USGS	11251000	1944-01-23	700	A
USGS	11251000	1944-01-24	724	A
USGS	11251000	1944-01-25	822	A
USGS	11251000	1944-01-26	883	A
USGS	11251000	1944-01-27	869	A
USGS	11251000	1944-01-28	736	A
USGS	11251000	1944-01-29	742	A
USGS	11251000	1944-01-30	700	A
USGS	11251000	1944-01-31	637	A
USGS	11251000	1944-02-01	718	A
USGS	11251000	1944-02-02	742	A
USGS	11251000	1944-02-03	803	A
USGS	11251000	1944-02-04	911	A
USGS	11251000	1944-02-05	932	A
USGS	11251000	1944-02-06	869	A
USGS	11251000	1944-02-07	700	A
USGS	11251000	1944-02-08	803	A
USGS	11251000	1944-02-09	1170	A
USGS	11251000	1944-02-10	1270	A
USGS	11251000	1944-02-11	1090	A
USGS	11251000	1944-02-12	981	A
USGS	11251000	1944-02-13	946	A
USGS	11251000	1944-02-14	796	A
USGS	11251000	1944-02-15	796	A
USGS	11251000	1944-02-16	772	A
USGS	11251000	1944-02-17	760	A
USGS	11251000	1944-02-18	748	A
USGS	11251000	1944-02-19	736	A
USGS	11251000	1944-02-20	730	A
USGS	11251000	1944-02-21	559	A
USGS	11251000	1944-02-22	659	A
USGS	11251000	1944-02-23	582	A
USGS	11251000	1944-02-24	576	A
USGS	11251000	1944-02-25	593	A
USGS	11251000	1944-02-26	571	A
USGS	11251000	1944-02-27	576	A
USGS	11251000	1944-02-28	576	A
USGS	11251000	1944-02-29	598	A
USGS	11251000	1944-03-01	610	A
USGS	11251000	1944-03-02	598	A
USGS	11251000	1944-03-03	576	A
USGS	11251000	1944-03-04	588	A
USGS	11251000	1944-03-05	576	A
USGS	11251000	1944-03-06	560	A
USGS	11251000	1944-03-07	582	A
USGS	11251000	1944-03-08	582	A
USGS	11251000	1944-03-09	588	A
USGS	11251000	1944-03-10	576	A
USGS	11251000	1944-03-11	626	A
USGS	11251000	1944-03-12	560	A
USGS	11251000	1944-03-13	566	A
USGS	11251000	1944-03-14	1030	A
USGS	11251000	1944-03-15	1240	A
USGS	11251000	1944-03-16	1240	A
USGS	11251000	1944-03-17	1240	A
USGS	11251000	1944-03-18	1240	A
USGS	11251000	1944-03-19	1240	A
USGS	11251000	1944-03-20	1240	A
USGS	11251000	1944-03-21	1240	A
USGS	11251000	1944-03-22	1240	A
USGS	11251000	1944-03-23	1250	A
USGS	11251000	1944-03-24	1580	A
USGS	11251000	1944-03-25	1910	A
USGS	11251000	1944-03-26	1730	A
USGS	11251000	1944-03-27	1610	A
USGS	11251000	1944-03-28	1610	A
USGS	11251000	1944-03-29	1610	A
USGS	11251000	1944-03-30	1770	A
USGS	11251000	1944-03-31	2230	A
USGS	11251000	1944-04-01	2210	A
USGS	11251000	1944-04-02	2210	A
USGS	11251000	1944-04-03	2210	A
USGS	11251000	1944-04-04	2210	A
USGS	11251000	1944-04-05	2220	A
USGS	11251000	1944-04-06	2220	A
USGS	11251000	1944-04-07	2350	A
USGS	11251000	1944-04-08	2520	A
USGS	11251000	1944-04-09	2510	A
USGS	11251000	1944-04-10	2390	A
USGS	11251000	1944-04-11	2220	A
USGS	11251000	1944-04-12	2220	A
USGS	11251000	1944-04-13	2220	A
USGS	11251000	1944-04-14	2220	A
USGS	11251000	1944-04-15	2210	A
USGS	11251000	1944-04-16	2210	A
USGS	11251000	1944-04-17	2210	A
USGS	11251000	1944-04-18	2210	A
USGS	11251000	1944-04-19	2200	A
USGS	11251000	1944-04-20	2150	A
USGS	11251000	1944-04-21	2110	A
USGS	11251000	1944-04-22	2030	A
USGS	11251000	1944-04-23	1980	A
USGS	11251000	1944-04-24	1940	A
USGS	11251000	1944-04-25	1920	A
USGS	11251000	1944-04-26	1850	A
USGS	11251000	1944-04-27	1810	A
USGS	11251000	1944-04-28	1750	A
USGS	11251000	1944-04-29	1700	A
USGS	11251000	1944-04-30	1710	A
USGS	11251000	1944-05-01	1720	A
USGS	11251000	1944-05-02	1730	A
USGS	11251000	1944-05-03	1750	A
USGS	11251000	1944-05-04	1800	A
USGS	11251000	1944-05-05	1850	A
USGS	11251000	1944-05-06	2070	A
USGS	11251000	1944-05-07	2160	A
USGS	11251000	1944-05-08	2120	A
USGS	11251000	1944-05-09	2090	A
USGS	11251000	1944-05-10	2080	A
USGS	11251000	1944-05-11	2060	A
USGS	11251000	1944-05-12	2080	A
USGS	11251000	1944-05-13	2020	A
USGS	11251000	1944-05-14	1980	A
USGS	11251000	1944-05-15	2030	A
USGS	11251000	1944-05-16	2100	A
USGS	11251000	1944-05-17	2100	A
USGS	11251000	1944-05-18	2100	A
USGS	11251000	1944-05-19	2110	A
USGS	11251000	1944-05-20	2110	A
USGS	11251000	1944-05-21	2120	A
USGS	11251000	1944-05-22	2130	A
USGS	11251000	1944-05-23	2120	A
USGS	11251000	1944-05-24	2110	A
USGS	11251000	1944-05-25	2010	A
USGS	11251000	1944-05-26	1920	A
USGS	11251000	1944-05-27	1920	A
USGS	11251000	1944-05-28	1910	A
USGS	11251000	1944-05-29	1790	A
USGS	11251000	1944-05-30	1700	A
USGS	11251000	1944-05-31	1710	A
USGS	11251000	1944-06-01	1830	A
USGS	11251000	1944-06-02	1920	A
USGS	11251000	1944-06-03	1920	A
USGS	11251000	1944-06-04	1920	A
USGS	11251000	1944-06-05	1930	A
USGS	11251000	1944-06-06	1850	A
USGS	11251000	1944-06-07	1800	A
USGS	11251000	1944-06-08	1710	A
USGS	11251000	1944-06-09	1610	A
USGS	11251000	1944-06-10	1690	A
USGS	11251000	1944-06-11	1790	A
USGS	11251000	1944-06-12	1910	A
USGS	11251000	1944-06-13	2010	A
USGS	11251000	1944-06-14	2190	A
USGS	11251000	1944-06-15	2410	A
USGS	11251000	1944-06-16	2410	A
USGS	11251000	1944-06-17	2410	A
USGS	11251000	1944-06-18	2410	A
USGS	11251000	1944-06-19	2420	A
USGS	11251000	1944-06-20	2480	A
USGS	11251000	1944-06-21	2510	A
USGS	11251000	1944-06-22	2510	A
USGS	11251000	1944-06-23	2510	A
USGS	11251000	1944-06-24	2510	A
USGS	11251000	1944-06-25	2510	A
USGS	11251000	1944-06-26	2460	A
USGS	11251000	1944-06-27	2430	A
USGS	11251000	1944-06-28	2430	A
USGS	11251000	1944-06-29	2430	A
USGS	11251000	1944-06-30	2420	A
USGS	11251000	1944-07-01	2410	A
USGS	11251000	1944-07-02	2420	A
USGS	11251000	1944-07-03	2420	A
USGS	11251000	1944-07-04	2430	A
USGS	11251000	1944-07-05	2430	A
USGS	11251000	1944-07-06	2430	A
USGS	11251000	1944-07-07	2480	A
USGS	11251000	1944-07-08	2520	A
USGS	11251000	1944-07-09	2530	A
USGS	11251000	1944-07-10	2530	A
USGS	11251000	1944-07-11	2460	A
USGS	11251000	1944-07-12	2420	A
USGS	11251000	1944-07-13	2420	A
USGS	11251000	1944-07-14	2410	A
USGS	11251000	1944-07-15	2410	A
USGS	11251000	1944-07-16	2410	A
USGS	11251000	1944-07-17	2460	A
USGS	11251000	1944-07-18	2510	A
USGS	11251000	1944-07-19	2500	A
USGS	11251000	1944-07-20	2480	A
USGS	11251000	1944-07-21	2480	A
USGS	11251000	1944-07-22	2480	A
USGS	11251000	1944-07-23	2470	A
USGS	11251000	1944-07-24	2510	A
USGS	11251000	1944-07-25	2520	A
USGS	11251000	1944-07-26	2520	A
USGS	11251000	1944-07-27	2520	A
USGS	11251000	1944-07-28	2530	A
USGS	11251000	1944-07-29	2530	A
USGS	11251000	1944-07-30	2520	A
USGS	11251000	1944-07-31	2470	A
USGS	11251000	1944-08-01	2430	A
USGS	11251000	1944-08-02	2430	A
USGS	11251000	1944-08-03	2430	A
USGS	11251000	1944-08-04	2420	A
USGS	11251000	1944-08-05	2440	A
USGS	11251000	1944-08-06	2440	A
USGS	11251000	1944-08-07	2440	A
USGS	11251000	1944-08-08	2440	A
USGS	11251000	1944-08-09	2440	A
USGS	11251000	1944-08-10	2440	A
USGS	11251000	1944-08-11	2410	A
USGS	11251000	1944-08-12	2380	A
USGS	11251000	1944-08-13	2390	A
USGS	11251000	1944-08-14	2350	A
USGS	11251000	1944-08-15	2320	A
USGS	11251000	1944-08-16	2320	A
USGS	11251000	1944-08-17	2320	A
USGS	11251000	1944-08-18	2310	A
USGS	11251000	1944-08-19	2320	A
USGS	11251000	1944-08-20	2320	A
USGS	11251000	1944-08-21	2280	A
USGS	11251000	1944-08-22	2260	A
USGS	11251000	1944-08-23	2250	A
USGS	11251000	1944-08-24	2240	A
USGS	11251000	1944-08-25	2240	A
USGS	11251000	1944-08-26	2240	A
USGS	11251000	1944-08-27	2230	A
USGS	11251000	1944-08-28	2220	A
USGS	11251000	1944-08-29	2220	A
USGS	11251000	1944-08-30	2220	A
USGS	11251000	1944-08-31	2170	A
USGS	11251000	1944-09-01	2110	A
USGS	11251000	1944-09-02	2100	A
USGS	11251000	1944-09-03	2100	A
USGS	11251000	1944-09-04	2090	A
USGS	11251000	1944-09-05	2090	A
USGS	11251000	1944-09-06	2080	A
USGS	11251000	1944-09-07	2070	A
USGS	11251000	1944-09-08	2060	A
USGS	11251000	1944-09-09	2060	A
USGS	11251000	1944-09-10	2060	A
USGS	11251000	1944-09-11	2050	A
USGS	11251000	1944-09-12	2050	A
USGS	11251000	1944-09-13	1980	A
USGS	11251000	1944-09-14	1940	A
USGS	11251000	1944-09-15	1960	A
USGS	11251000	1944-09-16	1950	A
USGS	11251000	1944-09-17	1940	A
USGS	11251000	1944-09-18	1910	A
USGS	11251000	1944-09-19	1840	A
USGS	11251000	1944-09-20	1840	A
USGS	11251000	1944-09-21	1830	A
USGS	11251000	1944-09-22	1830	A
USGS	11251000	1944-09-23	1820	A
USGS	11251000	1944-09-24	1820	A
USGS	11251000	1944-09-25	1870	A
USGS	11251000	1944-09-26	1910	A
USGS	11251000	1944-09-27	1910	A
USGS	11251000	1944-09-28	1900	A
USGS	11251000	1944-09-29	1900	A
USGS	11251000	1944-09-30	1890	A
USGS	11251000	1944-10-01	1890	A
USGS	11251000	1944-10-02	1890	A
USGS	11251000	1944-10-03	1880	A
USGS	11251000	1944-10-04	1880	A
USGS	11251000	1944-10-05	1880	A
USGS	11251000	1944-10-06	1870	A
USGS	11251000	1944-10-07	1860	A
USGS	11251000	1944-10-08	1850	A
USGS	11251000	1944-10-09	1730	A
USGS	11251000	1944-10-10	1630	A
USGS	11251000	1944-10-11	1530	A
USGS	11251000	1944-10-12	1460	A
USGS	11251000	1944-10-13	1350	A
USGS	11251000	1944-10-14	1260	A
USGS	11251000	1944-10-15	1220	A
USGS	11251000	1944-10-16	1110	A
USGS	11251000	1944-10-17	1010	A
USGS	11251000	1944-10-18	988	A
USGS	11251000	1944-10-19	967	A
USGS	11251000	1944-10-20	967	A
USGS	11251000	1944-10-21	960	A
USGS	11251000	1944-10-22	953	A
USGS	11251000	1944-10-23	953	A
USGS	11251000	1944-10-24	925	A
USGS	11251000	1944-10-25	911	A
USGS	11251000	1944-10-26	911	A
USGS	11251000	1944-10-27	890	A
USGS	11251000	1944-10-28	890	A
